symbol,pred_date,entry_date,prob,mae,none__ret,none__days,none__hit,none__exit,predlow_close__ret,predlow_close__days,predlow_close__hit,predlow_close__exit,predlow_touch__ret,predlow_touch__days,predlow_touch__hit,predlow_touch__exit,ema_close__ret,ema_close__days,ema_close__hit,ema_close__exit,ema_touch__ret,ema_touch__days,ema_touch__hit,ema_touch__exit,fixed_8pct__ret,fixed_8pct__days,fixed_8pct__hit,fixed_8pct__exit,fixed_12pct__ret,fixed_12pct__days,fixed_12pct__hit,fixed_12pct__exit,fixed_15pct__ret,fixed_15pct__days,fixed_15pct__hit,fixed_15pct__exit,fixed_20pct__ret,fixed_20pct__days,fixed_20pct__hit,fixed_20pct__exit,fixed_25pct__ret,fixed_25pct__days,fixed_25pct__hit,fixed_25pct__exit
MAZDOCK,2024-06-27,2024-06-28,0.6197411003236247,-0.05806301907376121,0.2579954954954955,5,False,2024-07-04,0.2579954954954955,5,False,2024-07-04,0.2579954954954955,5,False,2024-07-04,0.2579954954954955,5,False,2024-07-04,0.2579954954954955,5,False,2024-07-04,0.2579954954954955,5,False,2024-07-04,0.2579954954954955,5,False,2024-07-04,0.2579954954954955,5,False,2024-07-04,0.2579954954954955,5,False,2024-07-04,0.2579954954954955,5,False,2024-07-04
QUICKHEAL,2024-06-27,2024-06-28,0.6197411003236247,-0.04025989116168427,0.021852495952718654,5,False,2024-07-04,0.021852495952718654,5,False,2024-07-04,0.021852495952718654,5,False,2024-07-04,0.021852495952718654,5,False,2024-07-04,0.021852495952718654,5,False,2024-07-04,0.021852495952718654,5,False,2024-07-04,0.021852495952718654,5,False,2024-07-04,0.021852495952718654,5,False,2024-07-04,0.021852495952718654,5,False,2024-07-04,0.021852495952718654,5,False,2024-07-04
AADHARHFC,2024-06-27,2024-06-28,0.5978260869565217,-0.033409432290143926,0.0529984832532171,5,False,2024-07-04,0.0529984832532171,5,False,2024-07-04,-0.026198760284325107,1,True,2024-06-28,0.0529984832532171,5,False,2024-07-04,0.0529984832532171,5,False,2024-07-04,0.0529984832532171,5,False,2024-07-04,0.0529984832532171,5,False,2024-07-04,0.0529984832532171,5,False,2024-07-04,0.0529984832532171,5,False,2024-07-04,0.0529984832532171,5,False,2024-07-04
BAJAJHIND,2024-06-27,2024-06-28,0.5978260869565217,-0.008749961853027344,0.025500011444091752,5,False,2024-07-04,0.025500011444091752,5,False,2024-07-04,0.025500011444091752,5,False,2024-07-04,0.025500011444091752,5,False,2024-07-04,0.025500011444091752,5,False,2024-07-04,0.025500011444091752,5,False,2024-07-04,0.025500011444091752,5,False,2024-07-04,0.025500011444091752,5,False,2024-07-04,0.025500011444091752,5,False,2024-07-04,0.025500011444091752,5,False,2024-07-04
SOLARA,2024-06-28,2024-07-01,0.8200692041522492,-0.02265484565127207,0.027079624412334136,5,False,2024-07-05,0.027079624412334136,5,False,2024-07-05,0.027079624412334136,5,False,2024-07-05,0.027079624412334136,5,False,2024-07-05,0.027079624412334136,5,False,2024-07-05,0.027079624412334136,5,False,2024-07-05,0.027079624412334136,5,False,2024-07-05,0.027079624412334136,5,False,2024-07-05,0.027079624412334136,5,False,2024-07-05,0.027079624412334136,5,False,2024-07-05
WOCKPHARMA,2024-06-28,2024-07-01,0.8200692041522492,-0.026000000000000023,0.21146663411458344,5,False,2024-07-05,0.21146663411458344,5,False,2024-07-05,0.21146663411458344,5,False,2024-07-05,0.21146663411458344,5,False,2024-07-05,0.21146663411458344,5,False,2024-07-05,0.21146663411458344,5,False,2024-07-05,0.21146663411458344,5,False,2024-07-05,0.21146663411458344,5,False,2024-07-05,0.21146663411458344,5,False,2024-07-05,0.21146663411458344,5,False,2024-07-05
SKYGOLD,2024-06-28,2024-07-01,0.7692307692307693,-0.08079051966707551,0.0712002312276323,5,False,2024-07-05,0.0712002312276323,5,False,2024-07-05,0.0712002312276323,5,False,2024-07-05,0.0712002312276323,5,False,2024-07-05,0.0712002312276323,5,False,2024-07-05,-0.07999999999999996,2,True,2024-07-02,0.0712002312276323,5,False,2024-07-05,0.0712002312276323,5,False,2024-07-05,0.0712002312276323,5,False,2024-07-05,0.0712002312276323,5,False,2024-07-05
CDSL,2024-06-28,2024-07-01,0.7196969696969697,-0.05413223140495871,-0.040082644628099184,5,False,2024-07-05,-0.040082644628099184,5,False,2024-07-05,-0.040082644628099184,5,False,2024-07-05,-0.040082644628099184,5,False,2024-07-05,-0.040082644628099184,5,False,2024-07-05,-0.040082644628099184,5,False,2024-07-05,-0.040082644628099184,5,False,2024-07-05,-0.040082644628099184,5,False,2024-07-05,-0.040082644628099184,5,False,2024-07-05,-0.040082644628099184,5,False,2024-07-05
360ONE,2024-06-28,2024-07-01,0.6733524355300858,-0.0751758671286118,-0.030452249038159573,5,False,2024-07-05,-0.06804021327339826,4,True,2024-07-04,-0.05628140703517592,3,True,2024-07-03,-0.030452249038159573,5,False,2024-07-05,-0.030452249038159573,5,False,2024-07-05,-0.030452249038159573,5,False,2024-07-05,-0.030452249038159573,5,False,2024-07-05,-0.030452249038159573,5,False,2024-07-05,-0.030452249038159573,5,False,2024-07-05,-0.030452249038159573,5,False,2024-07-05
ORIENTCEM,2024-06-28,2024-07-01,0.6733524355300858,-0.03604902746945138,0.06993509128815534,5,False,2024-07-05,0.06993509128815534,5,False,2024-07-05,0.06993509128815534,5,False,2024-07-05,0.06993509128815534,5,False,2024-07-05,0.06993509128815534,5,False,2024-07-05,0.06993509128815534,5,False,2024-07-05,0.06993509128815534,5,False,2024-07-05,0.06993509128815534,5,False,2024-07-05,0.06993509128815534,5,False,2024-07-05,0.06993509128815534,5,False,2024-07-05
